generation,mutation_scale,training_fitness,training_mean_lines,training_std_lines,validation_fitness,validation_mean_lines,validation_median_lines,validation_std_lines,validation_mean_pieces,validation_zero_rate
1,0.45,44.685473440356866,37.3125,12.882734327385627,46.62883915418778,39.9,35.0,15.837402985759166,135.81666666666666,0.0
2,0.43724137931034485,44.83979623441356,37.5625,16.23256275977395,45.09056047471982,38.233333333333334,35.5,15.0281587546697,131.78333333333333,0.0
3,0.4244827586206897,50.626682523282476,42.5625,14.102166278625422,47.1190357625885,40.266666666666666,36.5,18.875792845747053,136.98333333333332,0.0
4,0.4117241379310345,52.2198117015102,43.5625,16.14376330816331,49.557012328688096,41.916666666666664,39.5,16.072016744087293,140.93333333333334,0.0
5,0.3989655172413793,57.95257029712675,48.8125,15.84778671455418,59.193322335096006,49.3,51.0,18.432127748399893,159.85,0.0
6,0.38620689655172413,66.20106133418672,55.75,22.086477763554786,58.07221196926167,49.2,46.0,18.721467178972205,159.1,0.0
7,0.37344827586206897,61.49384241938289,51.4375,14.378668010285237,64.11211975180248,54.2,51.5,20.771615247736513,171.68333333333334,0.0
8,0.3606896551724138,66.05549498997695,55.3125,17.127166833717713,64.0912925615146,54.0,52.0,19.41734619697896,171.26666666666668,0.0
9,0.34793103448275864,67.96341596798318,57.9375,22.979525533613614,61.40732954546134,51.93333333333333,48.5,17.600063131199907,166.0,0.0
10,0.3351724137931035,64.9479460814564,54.625,20.669648642393515,64.51054148361352,55.11666666666667,50.0,24.57986416199696,173.73333333333332,0.0
11,0.3224137931034483,76.96616504551987,65.1875,21.918082574668798,66.2990690040877,56.18333333333333,52.0,19.446072154093798,176.5,0.0
12,0.30965517241379314,78.363952731687,66.6875,23.954954471883266,61.53102128278304,52.36666666666667,47.5,19.514923064727213,167.05,0.0
13,0.296896551724138,75.26373231872896,63.875,23.151336354517422,69.74908645360111,58.68333333333333,57.0,20.772170217759037,182.41666666666666,0.0
14,0.28413793103448276,71.57920599042903,59.375,13.633025159516137,66.08020888951484,56.05,52.5,22.500685174752643,176.05,0.0
15,0.2713793103448276,72.15575018759381,62.0,24.987496873436523,65.03318820701378,55.15,51.5,21.40936321643718,173.55,0.0
16,0.2586206896551724,69.40833060687676,58.625,23.84553155205394,66.08067448368921,56.15,52.0,22.505425271846487,176.2,0.0
17,0.24586206896551727,75.89375102874166,65.5625,41.1353995209722,66.3172395994574,55.583333333333336,55.5,20.69322889793234,175.1,0.0
18,0.11894736842105263,89.30037261027184,73.33333333333333,18.882678717691395,67.94437026390052,58.05,52.0,23.506328934991103,180.95,0.0
19,0.10800000000000001,72.58863271932644,61.25,18.423829677892705,69.88978662896002,58.6,58.0,20.32994507288858,181.91666666666666,0.0
20,0.10400000000000001,69.50731395844704,60.1875,26.87289235921582,62.728408293908075,53.25,49.5,21.122361768198807,169.15,0.0
21,0.1,75.27207490945693,64.375,24.7206265090511,67.47339270965892,56.983333333333334,54.0,19.979565950129036,177.76666666666668,0.0
22,0.096,80.31424069082806,68.125,24.043905152865662,64.72167965373728,55.11666666666667,51.0,24.383116882156166,173.6,0.0
23,0.092,73.8426988683791,62.9375,22.689393860348055,71.31999278626687,59.43333333333333,61.0,20.59317578444104,184.45,0.0
24,0.08800000000000001,80.98314931443993,68.0,29.0516780926679,68.85064901639254,59.0,52.0,24.390571949013413,182.81666666666666,0.0
25,0.084,75.52626495353668,66.6875,37.93204244105503,72.21678643926664,61.4,56.0,22.182726012222513,189.55,0.0
26,0.08,77.59131532374542,67.8125,34.13432793757627,65.55690974020743,56.483333333333334,49.0,26.83622655209848,176.75,0.0
27,0.076,77.22173921714979,66.0,22.991846380836837,68.99503246591708,58.1,56.0,20.150847790270923,180.81666666666666,0.0
28,0.072,75.07958391527013,63.6875,22.996518078830977,70.08978436312347,59.333333333333336,56.5,24.38692728127556,183.93333333333334,0.0
29,0.068,79.77373760755991,65.6875,21.80228987400177,68.62433246308332,58.43333333333333,54.0,25.269458948611376,181.43333333333334,0.0
30,0.064,75.40609009881976,63.75,23.57037335300398,66.92113580812855,56.86666666666667,52.5,22.232458753413265,177.68333333333334,0.0
31,0.06000000000000001,78.96187786129188,67.0,27.588493978468634,66.1583040829996,55.833333333333336,53.0,19.21298750556219,175.55,0.0
32,0.05600000000000001,78.86213682516558,66.875,25.438344580573634,72.65097053104311,61.45,58.0,22.432435593726034,189.38333333333333,0.0
33,0.05200000000000002,81.5063745789651,68.8125,24.04479868391499,71.45973374118488,60.03333333333333,58.0,18.39471542469618,186.01666666666668,0.0
34,0.048000000000000015,79.89766057559697,66.9375,19.236907073383705,70.75246970283986,60.6,54.0,26.397727174891408,187.26666666666668,0.0
35,0.04400000000000001,78.36366893824594,64.9375,21.043017695900936,70.32588294782633,60.21666666666667,53.0,23.72417309178318,186.53333333333333,0.0
36,0.04000000000000001,84.21318491982049,73.125,31.780251336325204,71.19826585797271,60.583333333333336,54.5,20.377513478232707,187.51666666666668,0.0
