agent,game,seed,pieces,lines,reward
old_weights,1,0,71,15,240.0
old_weights,2,1,54,9,183.0
old_weights,3,2,60,10,219.0
old_weights,4,3,53,6,152.0
old_weights,5,4,63,11,232.0
old_weights,6,5,45,3,74.0
old_weights,7,6,38,2,77.0
old_weights,8,7,65,12,244.0
old_weights,9,8,58,9,187.0
old_weights,10,9,39,3,88.0
old_weights,11,10,62,10,201.0
old_weights,12,11,67,12,226.0
old_weights,13,12,60,9,189.0
old_weights,14,13,59,9,188.0
old_weights,15,14,41,2,60.0
old_weights,16,15,68,12,227.0
old_weights,17,16,51,6,130.0
old_weights,18,17,63,11,212.0
old_weights,19,18,76,16,315.0
old_weights,20,19,60,9,189.0
old_weights,21,20,54,6,113.0
old_weights,22,21,58,8,157.0
old_weights,23,22,58,9,167.0
old_weights,24,23,46,4,85.0
old_weights,25,24,45,3,94.0
old_weights,26,25,80,17,329.0
old_weights,27,26,38,1,47.0
old_weights,28,27,44,3,73.0
old_weights,29,28,48,7,137.0
old_weights,30,29,64,11,253.0
old_weights,31,30,47,4,86.0
old_weights,32,31,60,10,199.0
old_weights,33,32,50,6,129.0
old_weights,34,33,86,19,335.0
old_weights,35,34,49,6,128.0
old_weights,36,35,52,7,141.0
old_weights,37,36,42,3,131.0
old_weights,38,37,45,4,84.0
old_weights,39,38,47,5,116.0
old_weights,40,39,40,2,79.0
old_weights,41,40,68,12,247.0
old_weights,42,41,73,15,262.0
old_weights,43,42,43,3,72.0
old_weights,44,43,54,7,163.0
old_weights,45,44,38,1,47.0
old_weights,46,45,55,8,154.0
old_weights,47,46,36,0,35.0
old_weights,48,47,65,12,244.0
old_weights,49,48,45,4,104.0
old_weights,50,49,51,6,110.0
old_weights,51,50,53,8,152.0
old_weights,52,51,56,7,145.0
old_weights,53,52,49,5,138.0
old_weights,54,53,60,10,219.0
old_weights,55,54,43,4,82.0
old_weights,56,55,51,6,130.0
old_weights,57,56,50,5,139.0
old_weights,58,57,65,11,214.0
old_weights,59,58,48,5,117.0
old_weights,60,59,41,2,60.0
old_weights,61,60,49,6,128.0
old_weights,62,61,58,9,187.0
old_weights,63,62,50,6,149.0
old_weights,64,63,44,4,103.0
old_weights,65,64,63,13,292.0
old_weights,66,65,39,3,68.0
old_weights,67,66,43,3,72.0
old_weights,68,67,46,5,115.0
old_weights,69,68,63,11,212.0
old_weights,70,69,56,10,195.0
old_weights,71,70,59,11,248.0
old_weights,72,71,44,3,73.0
old_weights,73,72,43,4,102.0
old_weights,74,73,58,8,177.0
old_weights,75,74,42,3,71.0
old_weights,76,75,52,6,111.0
old_weights,77,76,50,7,139.0
old_weights,78,77,59,9,188.0
old_weights,79,78,64,10,203.0
old_weights,80,79,63,11,212.0
old_weights,81,80,90,22,389.0
old_weights,82,81,87,20,406.0
old_weights,83,82,59,10,218.0
old_weights,84,83,64,12,203.0
old_weights,85,84,38,5,107.0
old_weights,86,85,38,1,47.0
old_weights,87,86,57,8,176.0
old_weights,88,87,46,6,105.0
old_weights,89,88,47,4,106.0
old_weights,90,89,49,5,98.0
old_weights,91,90,57,9,186.0
old_weights,92,91,69,13,318.0
old_weights,93,92,46,6,125.0
old_weights,94,93,70,12,229.0
old_weights,95,94,49,8,148.0
old_weights,96,95,63,10,182.0
old_weights,97,96,68,13,277.0
old_weights,98,97,59,10,218.0
old_weights,99,98,68,12,247.0
old_weights,100,99,55,8,154.0
genetic_weights,1,0,96,25,345.0
genetic_weights,2,1,85,19,294.0
genetic_weights,3,2,100,25,349.0
genetic_weights,4,3,103,27,412.0
genetic_weights,5,4,110,29,419.0
genetic_weights,6,5,55,7,124.0
genetic_weights,7,6,72,14,211.0
genetic_weights,8,7,90,21,319.0
genetic_weights,9,8,96,23,405.0
genetic_weights,10,9,94,22,353.0
genetic_weights,11,10,60,9,149.0
genetic_weights,12,11,71,14,210.0
genetic_weights,13,12,46,4,85.0
genetic_weights,14,13,78,17,267.0
genetic_weights,15,14,127,36,506.0
genetic_weights,16,15,77,18,256.0
genetic_weights,17,16,74,15,243.0
genetic_weights,18,17,66,12,205.0
genetic_weights,19,18,67,12,186.0
genetic_weights,20,19,69,13,218.0
genetic_weights,21,20,74,16,273.0
genetic_weights,22,21,98,24,377.0
genetic_weights,23,22,54,7,143.0
genetic_weights,24,23,61,9,150.0
genetic_weights,25,24,51,6,110.0
genetic_weights,26,25,71,14,230.0
genetic_weights,27,26,90,21,299.0
genetic_weights,28,27,73,15,262.0
genetic_weights,29,28,81,17,250.0
genetic_weights,30,29,152,46,631.0
genetic_weights,31,30,80,18,279.0
genetic_weights,32,31,83,18,302.0
genetic_weights,33,32,84,19,293.0
genetic_weights,34,33,103,27,432.0
genetic_weights,35,34,54,7,143.0
genetic_weights,36,35,80,18,279.0
genetic_weights,37,36,68,13,217.0
genetic_weights,38,37,134,39,543.0
genetic_weights,39,38,52,6,131.0
genetic_weights,40,39,49,5,98.0
genetic_weights,41,40,101,26,420.0
genetic_weights,42,41,72,15,221.0
genetic_weights,43,42,65,13,214.0
genetic_weights,44,43,109,29,418.0
genetic_weights,45,44,83,19,292.0
genetic_weights,46,45,70,14,209.0
genetic_weights,47,46,107,28,426.0
genetic_weights,48,47,73,15,242.0
genetic_weights,49,48,73,16,232.0
genetic_weights,50,49,89,21,338.0
genetic_weights,51,50,56,8,135.0
genetic_weights,52,51,102,26,361.0
genetic_weights,53,52,62,10,161.0
genetic_weights,54,53,56,8,135.0
genetic_weights,55,54,90,21,339.0
genetic_weights,56,55,72,14,231.0
genetic_weights,57,56,105,28,384.0
genetic_weights,58,57,124,35,493.0
genetic_weights,59,58,68,13,197.0
genetic_weights,60,59,57,9,146.0
genetic_weights,61,60,78,17,247.0
genetic_weights,62,61,93,23,382.0
genetic_weights,63,62,79,17,288.0
genetic_weights,64,63,86,20,325.0
genetic_weights,65,64,92,22,331.0
genetic_weights,66,65,86,20,325.0
genetic_weights,67,66,75,16,254.0
genetic_weights,68,67,94,24,333.0
genetic_weights,69,68,111,30,430.0
genetic_weights,70,69,104,27,393.0
genetic_weights,71,70,59,9,168.0
genetic_weights,72,71,74,15,223.0
genetic_weights,73,72,101,26,420.0
genetic_weights,74,73,56,9,145.0
genetic_weights,75,74,77,17,266.0
genetic_weights,76,75,82,19,291.0
genetic_weights,77,76,139,41,568.0
genetic_weights,78,77,99,25,348.0
genetic_weights,79,78,112,30,431.0
genetic_weights,80,79,175,55,744.0
genetic_weights,81,80,73,15,262.0
genetic_weights,82,81,117,32,456.0
genetic_weights,83,82,100,26,419.0
genetic_weights,84,83,181,58,900.0
genetic_weights,85,84,77,18,276.0
genetic_weights,86,85,75,16,234.0
genetic_weights,87,86,166,53,755.0
genetic_weights,88,87,57,8,136.0
genetic_weights,89,88,58,9,147.0
genetic_weights,90,89,89,21,298.0
genetic_weights,91,90,96,23,365.0
genetic_weights,92,91,91,22,310.0
genetic_weights,93,92,64,11,193.0
genetic_weights,94,93,87,20,306.0
genetic_weights,95,94,93,22,372.0
genetic_weights,96,95,79,17,248.0
genetic_weights,97,96,51,6,110.0
genetic_weights,98,97,62,10,161.0
genetic_weights,99,98,71,14,250.0
genetic_weights,100,99,138,40,557.0
